sweep,x_occupancy,active_units,threads,bw_GBs
smcount,0.0417,1,1024,51.0
smcount,0.0833,2,1024,101.9
smcount,0.1250,3,1024,149.6
smcount,0.1667,4,1024,188.1
smcount,0.2083,5,1024,215.1
smcount,0.2500,6,1024,232.5
smcount,0.2917,7,1024,240.6
smcount,0.3333,8,1024,245.8
smcount,0.3750,9,1024,247.0
smcount,0.4167,10,1024,246.1
smcount,0.4583,11,1024,247.5
smcount,0.5000,12,1024,248.4
smcount,0.5417,13,1024,248.2
smcount,0.5833,14,1024,248.7
smcount,0.6250,15,1024,247.4
smcount,0.6667,16,1024,248.5
smcount,0.7083,17,1024,249.1
smcount,0.7500,18,1024,249.3
smcount,0.7917,19,1024,248.5
smcount,0.8333,20,1024,247.8
smcount,0.8750,21,1024,247.3
smcount,0.9167,22,1024,247.8
smcount,0.9583,23,1024,248.9
smcount,1.0000,24,1024,249.7
smcount,1.0417,25,1024,210.4
smcount,1.0833,26,1024,219.8
smcount,1.1250,27,1024,227.3
smcount,1.1667,28,1024,233.5
smcount,1.2083,29,1024,239.9
smcount,1.2500,30,1024,244.3
smcount,1.2917,31,1024,247.4
smcount,1.3333,32,1024,247.0
smcount,1.3750,33,1024,248.0
smcount,1.4167,34,1024,249.1
smcount,1.4583,35,1024,247.7
smcount,1.5000,36,1024,249.0
smcount,1.5417,37,1024,248.9
smcount,1.5833,38,1024,249.5
smcount,1.6250,39,1024,248.5
smcount,1.6667,40,1024,248.8
smcount,1.7083,41,1024,249.7
smcount,1.7500,42,1024,249.2
smcount,1.7917,43,1024,249.8
smcount,1.8333,44,1024,248.9
smcount,1.8750,45,1024,249.4
smcount,1.9167,46,1024,249.3
smcount,1.9583,47,1024,249.1
smcount,2.0000,48,1024,250.0
warps,0.0208,24,32,40.0
warps,0.0417,24,64,79.8
warps,0.0625,24,96,118.0
warps,0.0833,24,128,153.2
warps,0.1042,24,160,180.5
warps,0.1250,24,192,202.3
warps,0.1458,24,224,219.4
warps,0.1667,24,256,228.7
warps,0.1875,24,288,234.5
warps,0.2083,24,320,238.7
warps,0.2292,24,352,239.9
warps,0.2500,24,384,243.7
warps,0.2708,24,416,245.1
warps,0.2917,24,448,244.9
warps,0.3125,24,480,246.6
warps,0.3333,24,512,246.8
warps,0.3542,24,544,246.8
warps,0.3750,24,576,247.1
warps,0.3958,24,608,248.2
warps,0.4167,24,640,247.3
warps,0.4375,24,672,248.2
warps,0.4583,24,704,248.2
warps,0.4792,24,736,248.1
warps,0.5000,24,768,248.2
warps,0.5208,24,800,247.8
warps,0.5417,24,832,248.5
warps,0.5625,24,864,248.6
warps,0.5833,24,896,248.7
warps,0.6042,24,928,249.2
warps,0.6250,24,960,247.4
warps,0.6458,24,992,248.6
warps,0.6667,24,1024,249.2
